participant_id,block,trial,image_name,posX,posY,image_stem,base_name,set,category
p023,2,3,lion_1.jpg,736,416,lion_1,lion,1,animals
p023,2,3,peacock_1.jpg,1048,312,peacock_1,peacock,1,animals
p023,2,3,pigeon_1.jpg,736,312,pigeon_1,pigeon,1,animals
p023,2,3,sheep_1.jpg,944,520,sheep_1,sheep,1,animals
p023,2,3,squirrel_1.jpg,1048,416,squirrel_1,squirrel,1,animals
p023,2,3,wolf_1.jpg,840,312,wolf_1,wolf,1,animals
p023,2,4,butterfly_2.jpg,944,520,butterfly_2,butterfly,2,animals
p023,2,4,dolphin_2.jpg,1048,520,dolphin_2,dolphin,2,animals
p023,2,4,fish_2.jpg,1048,416,fish_2,fish,2,animals
p023,2,4,fox_2.jpg,840,416,fox_2,fox,2,animals
p023,2,4,horse_2.jpg,840,624,horse_2,horse,2,animals
p023,2,4,ladybug_2.jpg,1048,624,ladybug_2,ladybug,2,animals
p023,2,4,lion_2.jpg,736,624,lion_2,lion,2,animals
p023,2,4,peacock_2.jpg,840,520,peacock_2,peacock,2,animals
p023,2,4,pigeon_2.jpg,632,624,pigeon_2,pigeon,2,animals
p023,2,4,sheep_2.jpg,944,624,sheep_2,sheep,2,animals
p023,2,4,squirrel_2.jpg,736,416,squirrel_2,squirrel,2,animals
p023,2,4,wolf_2.jpg,528,624,wolf_2,wolf,2,animals
p023,3,5,acorn_1.jpg,424,520,acorn_1,acorn,1,plants
p023,3,5,apple_1.jpg,840,416,apple_1,apple,1,plants
p023,3,5,blueberry_1.jpg,840,520,blueberry_1,blueberry,1,plants
p023,3,5,broccoli_1.jpg,1048,416,broccoli_1,broccoli,1,plants
p023,3,5,cabbage_1.jpg,1048,520,cabbage_1,cabbage,1,plants
p023,3,5,cactus_1.jpg,944,520,cactus_1,cactus,1,plants
p023,3,5,cherry_1.jpg,632,520,cherry_1,cherry,1,plants
p023,3,5,flower_1.jpg,320,520,flower_1,flower,1,plants
p023,3,5,grass_1.jpg,216,520,grass_1,grass,1,plants
p023,3,5,leaf_1.jpg,944,416,leaf_1,leaf,1,plants
p023,3,5,peanut_1.jpg,736,520,peanut_1,peanut,1,plants
p023,3,5,tree_1.jpg,528,520,tree_1,tree,1,plants
p023,3,6,acorn_2.jpg,840,520,acorn_2,acorn,2,plants
p023,3,6,apple_2.jpg,736,416,apple_2,apple,2,plants
p023,3,6,blueberry_2.jpg,528,624,blueberry_2,blueberry,2,plants
p023,3,6,broccoli_2.jpg,840,624,broccoli_2,broccoli,2,plants
p023,3,6,cabbage_2.jpg,1048,520,cabbage_2,cabbage,2,plants
p023,3,6,cactus_2.jpg,944,416,cactus_2,cactus,2,plants
p023,3,6,cherry_2.jpg,736,624,cherry_2,cherry,2,plants
p023,3,6,flower_2.jpg,632,624,flower_2,flower,2,plants
p023,3,6,grass_2.jpg,1048,416,grass_2,grass,2,plants
p023,3,6,leaf_2.jpg,840,416,leaf_2,leaf,2,plants
p023,3,6,peanut_2.jpg,944,520,peanut_2,peanut,2,plants
p023,3,6,tree_2.jpg,736,520,tree_2,tree,2,plants
p024,1,1,angry_1.jpg,1048,624,angry_1,angry,1,emotions
p024,1,1,angry_2.jpg,1048,312,angry_2,angry,2,emotions
p024,1,1,disgust_1.jpg,736,520,disgust_1,disgust,1,emotions
p024,1,1,disgust_2.jpg,736,416,disgust_2,disgust,2,emotions
p024,1,1,fearful_1.jpg,216,208,fearful_1,fearful,1,emotions
p024,1,1,fearful_2.jpg,424,520,fearful_2,fearful,2,emotions
p024,1,1,happy_1.jpg,632,624,happy_1,happy,1,emotions
p024,1,1,happy_2.jpg,1048,104,happy_2,happy,2,emotions
p024,1,1,sad_1.jpg,840,624,sad_1,sad,1,emotions
p024,1,1,sad_2.jpg,632,208,sad_2,sad,2,emotions
p024,1,1,surprise_1.jpg,424,312,surprise_1,surprise,1,emotions
p024,1,1,surprise_2.jpg,320,312,surprise_2,surprise,2,emotions
p024,1,2,angry_3.jpg,1048,624,angry_3,angry,3,emotions
p024,1,2,angry_4.jpg,216,312,angry_4,angry,4,emotions
p024,1,2,disgust_3.jpg,112,624,disgust_3,disgust,3,emotions
p024,1,2,disgust_4.jpg,1048,104,disgust_4,disgust,4,emotions
p024,1,2,fearful_3.jpg,424,104,fearful_3,fearful,3,emotions
p024,1,2,fearful_4.jpg,112,104,fearful_4,fearful,4,emotions
p024,1,2,happy_3.jpg,840,520,happy_3,happy,3,emotions
p024,1,2,happy_4.jpg,840,416,happy_4,happy,4,emotions
p024,1,2,sad_3.jpg,424,520,sad_3,sad,3,emotions
p024,1,2,sad_4.jpg,1048,312,sad_4,sad,4,emotions
p024,1,2,surprise_3.jpg,632,624,surprise_3,surprise,3,emotions
p024,1,2,surprise_4.jpg,840,208,surprise_4,surprise,4,emotions
p024,2,3,acorn_1.jpg,216,208,acorn_1,acorn,1,plants
p024,2,3,apple_1.jpg,944,104,apple_1,apple,1,plants
p024,2,3,blueberry_1.jpg,736,104,blueberry_1,blueberry,1,plants
p024,2,3,broccoli_1.jpg,528,104,broccoli_1,broccoli,1,plants
p024,2,3,cabbage_1.jpg,320,104,cabbage_1,cabbage,1,plants
p024,2,3,cactus_1.jpg,112,104,cactus_1,cactus,1,plants
p024,2,3,cherry_1.jpg,1048,104,cherry_1,cherry,1,plants
p024,2,3,flower_1.jpg,840,104,flower_1,flower,1,plants
p024,2,3,grass_1.jpg,424,104,grass_1,grass,1,plants
p024,2,3,leaf_1.jpg,216,104,leaf_1,leaf,1,plants
p024,2,3,peanut_1.jpg,112,208,peanut_1,peanut,1,plants
p024,2,3,tree_1.jpg,632,104,tree_1,tree,1,plants
p024,2,4,acorn_2.jpg,112,312,acorn_2,acorn,2,plants
p024,2,4,apple_2.jpg,736,416,apple_2,apple,2,plants
p024,2,4,blueberry_2.jpg,112,624,blueberry_2,blueberry,2,plants
p024,2,4,broccoli_2.jpg,632,312,broccoli_2,broccoli,2,plants
p024,2,4,cabbage_2.jpg,424,312,cabbage_2,cabbage,2,plants
p024,2,4,cactus_2.jpg,944,624,cactus_2,cactus,2,plants
p024,2,4,cherry_2.jpg,112,104,cherry_2,cherry,2,plants
p024,2,4,flower_2.jpg,528,624,flower_2,flower,2,plants
p024,2,4,grass_2.jpg,1048,312,grass_2,grass,2,plants
p024,2,4,leaf_2.jpg,840,104,leaf_2,leaf,2,plants
p024,2,4,peanut_2.jpg,1048,104,peanut_2,peanut,2,plants
p024,2,4,tree_2.jpg,528,104,tree_2,tree,2,plants
p024,3,5,butterfly_1.jpg,1048,624,butterfly_1,butterfly,1,animals
p024,3,5,dolphin_1.jpg,1048,104,dolphin_1,dolphin,1,animals
p024,3,5,fish_1.jpg,1048,520,fish_1,fish,1,animals
p024,3,5,fox_1.jpg,736,104,fox_1,fox,1,animals
p024,3,5,horse_1.jpg,528,104,horse_1,horse,1,animals
p024,3,5,ladybug_1.jpg,320,104,ladybug_1,ladybug,1,animals
p024,3,5,lion_1.jpg,112,624,lion_1,lion,1,animals
p024,3,5,peacock_1.jpg,1048,312,peacock_1,peacock,1,animals
p024,3,5,pigeon_1.jpg,112,104,pigeon_1,pigeon,1,animals
p024,3,5,sheep_1.jpg,320,312,sheep_1,sheep,1,animals
p024,3,5,squirrel_1.jpg,112,312,squirrel_1,squirrel,1,animals
p024,3,5,wolf_1.jpg,632,624,wolf_1,wolf,1,animals
p024,3,6,butterfly_2.jpg,736,312,butterfly_2,butterfly,2,animals
p024,3,6,dolphin_2.jpg,840,624,dolphin_2,dolphin,2,animals
p024,3,6,fish_2.jpg,1048,624,fish_2,fish,2,animals
p024,3,6,fox_2.jpg,424,104,fox_2,fox,2,animals
p024,3,6,horse_2.jpg,1048,312,horse_2,horse,2,animals
p024,3,6,ladybug_2.jpg,112,520,ladybug_2,ladybug,2,animals
p024,3,6,lion_2.jpg,632,624,lion_2,lion,2,animals
p024,3,6,peacock_2.jpg,632,104,peacock_2,peacock,2,animals
p024,3,6,pigeon_2.jpg,1048,416,pigeon_2,pigeon,2,animals
p024,3,6,sheep_2.jpg,840,104,sheep_2,sheep,2,animals
p024,3,6,squirrel_2.jpg,424,624,squirrel_2,squirrel,2,animals
p024,3,6,wolf_2.jpg,1048,104,wolf_2,wolf,2,animals
p025,1,1,acorn_1.jpg,736,104,acorn_1,acorn,1,plants
p025,1,1,apple_1.jpg,1048,416,apple_1,apple,1,plants
p025,1,1,blueberry_1.jpg,320,624,blueberry_1,blueberry,1,plants
p025,1,1,broccoli_1.jpg,528,624,broccoli_1,broccoli,1,plants
p025,1,1,cabbage_1.jpg,632,624,cabbage_1,cabbage,1,plants
p025,1,1,cactus_1.jpg,112,624,cactus_1,cactus,1,plants
p025,1,1,cherry_1.jpg,1048,312,cherry_1,cherry,1,plants
p025,1,1,flower_1.jpg,112,312,flower_1,flower,1,plants
p025,1,1,grass_1.jpg,840,624,grass_1,grass,1,plants
p025,1,1,leaf_1.jpg,736,624,leaf_1,leaf,1,plants
p025,1,1,peanut_1.jpg,944,104,peanut_1,peanut,1,plants
p025,1,1,tree_1.jpg,424,104,tree_1,tree,1,plants
p025,1,2,acorn_2.jpg,1048,104,acorn_2,acorn,2,plants
p025,1,2,apple_2.jpg,424,104,apple_2,apple,2,plants
p025,1,2,blueberry_2.jpg,528,104,blueberry_2,blueberry,2,plants
p025,1,2,broccoli_2.jpg,216,624,broccoli_2,broccoli,2,plants
p025,1,2,cabbage_2.jpg,320,624,cabbage_2,cabbage,2,plants
p025,1,2,cactus_2.jpg,1048,624,cactus_2,cactus,2,plants
p025,1,2,cherry_2.jpg,320,104,cherry_2,cherry,2,plants
p025,1,2,flower_2.jpg,112,312,flower_2,flower,2,plants
p025,1,2,grass_2.jpg,528,624,grass_2,grass,2,plants
p025,1,2,leaf_2.jpg,632,624,leaf_2,leaf,2,plants
p025,1,2,peanut_2.jpg,944,104,peanut_2,peanut,2,plants
p025,1,2,tree_2.jpg,736,624,tree_2,tree,2,plants
p025,2,3,butterfly_1.jpg,112,416,butterfly_1,butterfly,1,animals
p025,2,3,dolphin_1.jpg,1048,624,dolphin_1,dolphin,1,animals
p025,2,3,fish_1.jpg,944,624,fish_1,fish,1,animals
p025,2,3,fox_1.jpg,320,624,fox_1,fox,1,animals
p025,2,3,horse_1.jpg,528,312,horse_1,horse,1,animals
p025,2,3,ladybug_1.jpg,112,312,ladybug_1,ladybug,1,animals
p025,2,3,lion_1.jpg,632,624,lion_1,lion,1,animals
p025,2,3,peacock_1.jpg,424,104,peacock_1,peacock,1,animals
p025,2,3,pigeon_1.jpg,632,104,pigeon_1,pigeon,1,animals
p025,2,3,sheep_1.jpg,944,208,sheep_1,sheep,1,animals
p025,2,3,squirrel_1.jpg,112,104,squirrel_1,squirrel,1,animals
p025,2,3,wolf_1.jpg,424,624,wolf_1,wolf,1,animals
p025,2,4,butterfly_2.jpg,112,312,butterfly_2,butterfly,2,animals
p025,2,4,dolphin_2.jpg,1048,520,dolphin_2,dolphin,2,animals
p025,2,4,fish_2.jpg,1048,624,fish_2,fish,2,animals
p025,2,4,fox_2.jpg,320,312,fox_2,fox,2,animals
p025,2,4,horse_2.jpg,424,624,horse_2,horse,2,animals
p025,2,4,ladybug_2.jpg,112,416,ladybug_2,ladybug,2,animals
p025,2,4,lion_2.jpg,736,416,lion_2,lion,2,animals
p025,2,4,peacock_2.jpg,424,104,peacock_2,peacock,2,animals
p025,2,4,pigeon_2.jpg,216,104,pigeon_2,pigeon,2,animals
p025,2,4,sheep_2.jpg,1048,104,sheep_2,sheep,2,animals
p025,2,4,squirrel_2.jpg,736,104,squirrel_2,squirrel,2,animals
p025,2,4,wolf_2.jpg,424,312,wolf_2,wolf,2,animals
p025,3,5,angry_1.jpg,944,104,angry_1,angry,1,emotions
p025,3,5,angry_2.jpg,840,104,angry_2,angry,2,emotions
p025,3,5,disgust_1.jpg,1048,104,disgust_1,disgust,1,emotions
p025,3,5,disgust_2.jpg,528,104,disgust_2,disgust,2,emotions
p025,3,5,fearful_1.jpg,528,416,fearful_1,fearful,1,emotions
p025,3,5,fearful_2.jpg,528,624,fearful_2,fearful,2,emotions
p025,3,5,happy_1.jpg,112,312,happy_1,happy,1,emotions
p025,3,5,happy_2.jpg,112,416,happy_2,happy,2,emotions
p025,3,5,sad_1.jpg,1048,624,sad_1,sad,1,emotions
p025,3,5,sad_2.jpg,944,624,sad_2,sad,2,emotions
p025,3,5,surprise_1.jpg,216,624,surprise_1,surprise,1,emotions
p025,3,5,surprise_2.jpg,320,624,surprise_2,surprise,2,emotions
p025,3,6,angry_3.jpg,1048,104,angry_3,angry,3,emotions
p025,3,6,angry_4.jpg,944,104,angry_4,angry,4,emotions
p025,3,6,disgust_3.jpg,632,104,disgust_3,disgust,3,emotions
p025,3,6,disgust_4.jpg,528,104,disgust_4,disgust,4,emotions
p025,3,6,fearful_3.jpg,736,520,fearful_3,fearful,3,emotions
p025,3,6,fearful_4.jpg,736,624,fearful_4,fearful,4,emotions
p025,3,6,happy_3.jpg,1048,520,happy_3,happy,3,emotions
p025,3,6,happy_4.jpg,1048,624,happy_4,happy,4,emotions
p025,3,6,sad_3.jpg,112,520,sad_3,sad,3,emotions
p025,3,6,sad_4.jpg,112,416,sad_4,sad,4,emotions
p025,3,6,surprise_3.jpg,528,520,surprise_3,surprise,3,emotions
p025,3,6,surprise_4.jpg,528,624,surprise_4,surprise,4,emotions
p026,1,1,acorn_1.jpg,736,416,acorn_1,acorn,1,plants
p026,1,1,apple_1.jpg,1048,312,apple_1,apple,1,plants
p026,1,1,blueberry_1.jpg,1048,520,blueberry_1,blueberry,1,plants
p026,1,1,broccoli_1.jpg,216,104,broccoli_1,broccoli,1,plants
p026,1,1,cabbage_1.jpg,216,208,cabbage_1,cabbage,1,plants
p026,1,1,cactus_1.jpg,424,312,cactus_1,cactus,1,plants
p026,1,1,cherry_1.jpg,1048,416,cherry_1,cherry,1,plants
p026,1,1,flower_1.jpg,424,416,flower_1,flower,1,plants
p026,1,1,grass_1.jpg,424,208,grass_1,grass,1,plants
p026,1,1,leaf_1.jpg,424,104,leaf_1,leaf,1,plants
p026,1,1,peanut_1.jpg,736,520,peanut_1,peanut,1,plants
p026,1,1,tree_1.jpg,424,520,tree_1,tree,1,plants
p026,1,2,acorn_2.jpg,736,416,acorn_2,acorn,2,plants
p026,1,2,apple_2.jpg,1048,312,apple_2,apple,2,plants
p026,1,2,blueberry_2.jpg,1048,416,blueberry_2,blueberry,2,plants
p026,1,2,broccoli_2.jpg,216,520,broccoli_2,broccoli,2,plants
p026,1,2,cabbage_2.jpg,320,624,cabbage_2,cabbage,2,plants
p026,1,2,cactus_2.jpg,216,416,cactus_2,cactus,2,plants
p026,1,2,cherry_2.jpg,1048,208,cherry_2,cherry,2,plants
p026,1,2,flower_2.jpg,216,208,flower_2,flower,2,plants
p026,1,2,grass_2.jpg,216,104,grass_2,grass,2,plants
p026,1,2,leaf_2.jpg,216,624,leaf_2,leaf,2,plants
p026,1,2,peanut_2.jpg,736,520,peanut_2,peanut,2,plants
p026,1,2,tree_2.jpg,216,312,tree_2,tree,2,plants
p026,2,3,angry_1.jpg,216,208,angry_1,angry,1,emotions
p026,2,3,angry_2.jpg,216,104,angry_2,angry,2,emotions
p026,2,3,disgust_1.jpg,944,624,disgust_1,disgust,1,emotions
p026,2,3,disgust_2.jpg,944,520,disgust_2,disgust,2,emotions
p026,2,3,fearful_1.jpg,840,208,fearful_1,fearful,1,emotions
p026,2,3,fearful_2.jpg,840,104,fearful_2,fearful,2,emotions
p026,2,3,happy_1.jpg,1048,104,happy_1,happy,1,emotions
p026,2,3,happy_2.jpg,1048,208,happy_2,happy,2,emotions
p026,2,3,sad_1.jpg,632,312,sad_1,sad,1,emotions
p026,2,3,sad_2.jpg,632,416,sad_2,sad,2,emotions
p026,2,3,surprise_1.jpg,424,520,surprise_1,surprise,1,emotions
p026,2,3,surprise_2.jpg,424,624,surprise_2,surprise,2,emotions
p026,2,4,angry_3.jpg,736,416,angry_3,angry,3,emotions
p026,2,4,angry_4.jpg,320,416,angry_4,angry,4,emotions
p026,2,4,disgust_3.jpg,320,624,disgust_3,disgust,3,emotions
p026,2,4,disgust_4.jpg,320,520,disgust_4,disgust,4,emotions
p026,2,4,fearful_3.jpg,736,520,fearful_3,fearful,3,emotions
p026,2,4,fearful_4.jpg,736,624,fearful_4,fearful,4,emotions
p026,2,4,happy_3.jpg,1048,104,happy_3,happy,3,emotions
p026,2,4,happy_4.jpg,1048,208,happy_4,happy,4,emotions
p026,2,4,sad_3.jpg,528,624,sad_3,sad,3,emotions
p026,2,4,sad_4.jpg,528,520,sad_4,sad,4,emotions
p026,2,4,surprise_3.jpg,944,208,surprise_3,surprise,3,emotions
p026,2,4,surprise_4.jpg,944,312,surprise_4,surprise,4,emotions
p026,3,5,butterfly_1.jpg,320,312,butterfly_1,butterfly,1,animals
p026,3,5,dolphin_1.jpg,944,624,dolphin_1,dolphin,1,animals
p026,3,5,fish_1.jpg,944,520,fish_1,fish,1,animals
p026,3,5,fox_1.jpg,528,416,fox_1,fox,1,animals
p026,3,5,horse_1.jpg,736,104,horse_1,horse,1,animals
p026,3,5,ladybug_1.jpg,320,208,ladybug_1,ladybug,1,animals
p026,3,5,lion_1.jpg,528,624,lion_1,lion,1,animals
p026,3,5,peacock_1.jpg,1048,208,peacock_1,peacock,1,animals
p026,3,5,pigeon_1.jpg,1048,104,pigeon_1,pigeon,1,animals
p026,3,5,sheep_1.jpg,736,208,sheep_1,sheep,1,animals
p026,3,5,squirrel_1.jpg,112,104,squirrel_1,squirrel,1,animals
p026,3,5,wolf_1.jpg,528,520,wolf_1,wolf,1,animals
p026,3,6,butterfly_2.jpg,112,104,butterfly_2,butterfly,2,animals
p026,3,6,dolphin_2.jpg,840,624,dolphin_2,dolphin,2,animals
p026,3,6,fish_2.jpg,840,520,fish_2,fish,2,animals
p026,3,6,fox_2.jpg,528,520,fox_2,fox,2,animals
p026,3,6,horse_2.jpg,736,104,horse_2,horse,2,animals
p026,3,6,ladybug_2.jpg,112,208,ladybug_2,ladybug,2,animals
p026,3,6,lion_2.jpg,528,416,lion_2,lion,2,animals
p026,3,6,peacock_2.jpg,1048,208,peacock_2,peacock,2,animals
p026,3,6,pigeon_2.jpg,1048,104,pigeon_2,pigeon,2,animals
p026,3,6,sheep_2.jpg,736,208,sheep_2,sheep,2,animals
p026,3,6,squirrel_2.jpg,112,312,squirrel_2,squirrel,2,animals
p026,3,6,wolf_2.jpg,528,624,wolf_2,wolf,2,animals
p027,1,1,butterfly_2.jpg,1048,312,butterfly_2,butterfly,2,animals
p027,1,1,dolphin_2.jpg,320,416,dolphin_2,dolphin,2,animals
p027,1,1,fish_2.jpg,736,624,fish_2,fish,2,animals
p027,1,1,fox_2.jpg,528,104,fox_2,fox,2,animals
p027,1,1,horse_2.jpg,320,624,horse_2,horse,2,animals
p027,1,1,ladybug_2.jpg,840,208,ladybug_2,ladybug,2,animals
p027,1,1,lion_2.jpg,216,104,lion_2,lion,2,animals
p027,1,1,peacock_2.jpg,112,624,peacock_2,peacock,2,animals
p027,1,1,pigeon_2.jpg,528,520,pigeon_2,pigeon,2,animals
p027,1,1,sheep_2.jpg,112,312,sheep_2,sheep,2,animals
p027,1,1,squirrel_2.jpg,840,520,squirrel_2,squirrel,2,animals
p027,1,1,wolf_2.jpg,632,416,wolf_2,wolf,2,animals
p027,1,2,butterfly_1.jpg,320,624,butterfly_1,butterfly,1,animals
p027,1,2,dolphin_1.jpg,216,416,dolphin_1,dolphin,1,animals
p027,1,2,fish_1.jpg,320,208,fish_1,fish,1,animals
p027,1,2,fox_1.jpg,112,104,fox_1,fox,1,animals
p027,1,2,horse_1.jpg,1048,104,horse_1,horse,1,animals
p027,1,2,ladybug_1.jpg,1048,416,ladybug_1,ladybug,1,animals
p027,1,2,lion_1.jpg,840,208,lion_1,lion,1,animals
p027,1,2,peacock_1.jpg,528,416,peacock_1,peacock,1,animals
p027,1,2,pigeon_1.jpg,1048,624,pigeon_1,pigeon,1,animals
p027,1,2,sheep_1.jpg,736,104,sheep_1,sheep,1,animals
p027,1,2,squirrel_1.jpg,528,104,squirrel_1,squirrel,1,animals
p027,1,2,wolf_1.jpg,632,624,wolf_1,wolf,1,animals
p027,2,3,angry_3.jpg,632,520,angry_3,angry,3,emotions
p027,2,3,angry_4.jpg,528,520,angry_4,angry,4,emotions
p027,2,3,disgust_3.jpg,320,624,disgust_3,disgust,3,emotions
p027,2,3,disgust_4.jpg,736,104,disgust_4,disgust,4,emotions
p027,2,3,fearful_3.jpg,1048,416,fearful_3,fearful,3,emotions
p027,2,3,fearful_4.jpg,424,104,fearful_4,fearful,4,emotions
p027,2,3,happy_3.jpg,112,312,happy_3,happy,3,emotions
p027,2,3,happy_4.jpg,1048,104,happy_4,happy,4,emotions
p027,2,3,sad_3.jpg,840,312,sad_3,sad,3,emotions
p027,2,3,sad_4.jpg,112,104,sad_4,sad,4,emotions
p027,2,3,surprise_3.jpg,320,416,surprise_3,surprise,3,emotions
p027,2,3,surprise_4.jpg,944,624,surprise_4,surprise,4,emotions
p027,2,4,angry_1.jpg,944,104,angry_1,angry,1,emotions
p027,2,4,angry_2.jpg,216,520,angry_2,angry,2,emotions
p027,2,4,disgust_1.jpg,528,520,disgust_1,disgust,1,emotions
p027,2,4,disgust_2.jpg,944,416,disgust_2,disgust,2,emotions
p027,2,4,fearful_1.jpg,840,520,fearful_1,fearful,1,emotions
p027,2,4,fearful_2.jpg,424,624,fearful_2,fearful,2,emotions
p027,2,4,happy_1.jpg,528,312,happy_1,happy,1,emotions
p027,2,4,happy_2.jpg,632,624,happy_2,happy,2,emotions
p027,2,4,sad_1.jpg,528,104,sad_1,sad,1,emotions
p027,2,4,sad_2.jpg,632,104,sad_2,sad,2,emotions
p027,2,4,surprise_1.jpg,320,208,surprise_1,surprise,1,emotions
p027,2,4,surprise_2.jpg,216,208,surprise_2,surprise,2,emotions
p027,3,5,acorn_2.jpg,840,208,acorn_2,acorn,2,plants
p027,3,5,apple_2.jpg,632,104,apple_2,apple,2,plants
p027,3,5,blueberry_2.jpg,424,104,blueberry_2,blueberry,2,plants
p027,3,5,broccoli_2.jpg,528,624,broccoli_2,broccoli,2,plants
p027,3,5,cabbage_2.jpg,320,624,cabbage_2,cabbage,2,plants
p027,3,5,cactus_2.jpg,112,520,cactus_2,cactus,2,plants
p027,3,5,cherry_2.jpg,1048,624,cherry_2,cherry,2,plants
p027,3,5,flower_2.jpg,736,624,flower_2,flower,2,plants
p027,3,5,grass_2.jpg,112,208,grass_2,grass,2,plants
p027,3,5,leaf_2.jpg,1048,416,leaf_2,leaf,2,plants
p027,3,5,peanut_2.jpg,320,208,peanut_2,peanut,2,plants
p027,3,5,tree_2.jpg,1048,312,tree_2,tree,2,plants
p027,3,6,acorn_1.jpg,216,416,acorn_1,acorn,1,plants
p027,3,6,apple_1.jpg,736,416,apple_1,apple,1,plants
p027,3,6,blueberry_1.jpg,320,104,blueberry_1,blueberry,1,plants
p027,3,6,broccoli_1.jpg,424,624,broccoli_1,broccoli,1,plants
p027,3,6,cabbage_1.jpg,1048,104,cabbage_1,cabbage,1,plants
p027,3,6,cactus_1.jpg,840,104,cactus_1,cactus,1,plants
p027,3,6,cherry_1.jpg,736,624,cherry_1,cherry,1,plants
p027,3,6,flower_1.jpg,528,104,flower_1,flower,1,plants
p027,3,6,grass_1.jpg,528,312,grass_1,grass,1,plants
p027,3,6,leaf_1.jpg,1048,520,leaf_1,leaf,1,plants
p027,3,6,peanut_1.jpg,320,416,peanut_1,peanut,1,plants
p027,3,6,tree_1.jpg,1048,624,tree_1,tree,1,plants
p028,1,1,angry_3.jpg,1048,104,angry_3,angry,3,emotions
p028,1,1,angry_4.jpg,1048,416,angry_4,angry,4,emotions
p028,1,1,disgust_3.jpg,944,520,disgust_3,disgust,3,emotions
p028,1,1,disgust_4.jpg,944,312,disgust_4,disgust,4,emotions
p028,1,1,fearful_3.jpg,1048,624,fearful_3,fearful,3,emotions
p028,1,1,fearful_4.jpg,944,624,fearful_4,fearful,4,emotions
p028,1,1,happy_3.jpg,944,208,happy_3,happy,3,emotions
p028,1,1,happy_4.jpg,944,104,happy_4,happy,4,emotions
p028,1,1,sad_3.jpg,1048,208,sad_3,sad,3,emotions
p028,1,1,sad_4.jpg,1048,520,sad_4,sad,4,emotions
p028,1,1,surprise_3.jpg,944,416,surprise_3,surprise,3,emotions
p028,1,1,surprise_4.jpg,1048,312,surprise_4,surprise,4,emotions
p028,1,2,angry_1.jpg,1048,312,angry_1,angry,1,emotions
p028,1,2,angry_2.jpg,944,312,angry_2,angry,2,emotions
p028,1,2,disgust_1.jpg,1048,624,disgust_1,disgust,1,emotions
p028,1,2,disgust_2.jpg,1048,416,disgust_2,disgust,2,emotions
p028,1,2,fearful_1.jpg,944,208,fearful_1,fearful,1,emotions
p028,1,2,fearful_2.jpg,944,520,fearful_2,fearful,2,emotions
p028,1,2,happy_1.jpg,1048,208,happy_1,happy,1,emotions
p028,1,2,happy_2.jpg,944,624,happy_2,happy,2,emotions
p028,1,2,sad_1.jpg,944,416,sad_1,sad,1,emotions
p028,1,2,sad_2.jpg,1048,520,sad_2,sad,2,emotions
p028,1,2,surprise_1.jpg,944,104,surprise_1,surprise,1,emotions
p028,1,2,surprise_2.jpg,1048,104,surprise_2,surprise,2,emotions
p028,2,3,butterfly_2.jpg,424,312,butterfly_2,butterfly,2,animals
p028,2,3,dolphin_2.jpg,1048,208,dolphin_2,dolphin,2,animals
p028,2,3,fish_2.jpg,632,312,fish_2,fish,2,animals
p028,2,3,fox_2.jpg,112,104,fox_2,fox,2,animals
p028,2,3,horse_2.jpg,528,624,horse_2,horse,2,animals
p028,2,3,ladybug_2.jpg,1048,312,ladybug_2,ladybug,2,animals
p028,2,3,lion_2.jpg,1048,104,lion_2,lion,2,animals
p028,2,3,peacock_2.jpg,216,520,peacock_2,peacock,2,animals
p028,2,3,pigeon_2.jpg,944,312,pigeon_2,pigeon,2,animals
p028,2,3,sheep_2.jpg,424,624,sheep_2,sheep,2,animals
p028,2,3,squirrel_2.jpg,216,208,squirrel_2,squirrel,2,animals
p028,2,3,wolf_2.jpg,528,416,wolf_2,wolf,2,animals
p028,2,4,butterfly_1.jpg,112,624,butterfly_1,butterfly,1,animals
p028,2,4,dolphin_1.jpg,528,208,dolphin_1,dolphin,1,animals
p028,2,4,fish_1.jpg,424,624,fish_1,fish,1,animals
p028,2,4,fox_1.jpg,528,520,fox_1,fox,1,animals
p028,2,4,horse_1.jpg,840,312,horse_1,horse,1,animals
p028,2,4,ladybug_1.jpg,424,208,ladybug_1,ladybug,1,animals
p028,2,4,lion_1.jpg,632,624,lion_1,lion,1,animals
p028,2,4,peacock_1.jpg,320,312,peacock_1,peacock,1,animals
p028,2,4,pigeon_1.jpg,736,208,pigeon_1,pigeon,1,animals
p028,2,4,sheep_1.jpg,112,104,sheep_1,sheep,1,animals
p028,2,4,squirrel_1.jpg,1048,624,squirrel_1,squirrel,1,animals
p028,2,4,wolf_1.jpg,1048,104,wolf_1,wolf,1,animals
p028,3,5,acorn_2.jpg,528,416,acorn_2,acorn,2,plants
p028,3,5,apple_2.jpg,112,416,apple_2,apple,2,plants
p028,3,5,blueberry_2.jpg,528,520,blueberry_2,blueberry,2,plants
p028,3,5,broccoli_2.jpg,216,624,broccoli_2,broccoli,2,plants
p028,3,5,cabbage_2.jpg,1048,624,cabbage_2,cabbage,2,plants
p028,3,5,cactus_2.jpg,424,312,cactus_2,cactus,2,plants
p028,3,5,cherry_2.jpg,112,104,cherry_2,cherry,2,plants
p028,3,5,flower_2.jpg,528,104,flower_2,flower,2,plants
p028,3,5,grass_2.jpg,944,624,grass_2,grass,2,plants
